School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Thiel College,Greenville,PA,16125-2181,41.41354,-80.384383,2,31.0,1,0.0,704.0,2
Seton Hill University,Greensburg,PA,15601,40.309407,-79.557433,2,21.0,1,0.0,1671.0,2
Pittsburgh Theological Seminary,Pittsburgh,PA,15206-2596,40.467347,-79.921397,2,11.0,1,0.0,,2
Triangle Tech Inc-Erie,Erie,PA,16502-2594,42.110339,-80.094042,2,13.0,2,0.0,15.0,3
Wilkes University,Wilkes-Barre,PA,18766,41.244199,-75.890262,2,13.0,1,0.0,2358.0,2
Clinton College,Rock Hill,SC,29730,34.913721,-81.043469,5,13.0,1,0.0,193.0,2
Newberry College,Newberry,SC,29108,34.285868,-81.619777,5,32.0,1,0.0,1205.0,2
Coker University,Hartsville,SC,29550,34.37696,-80.070416,5,32.0,1,0.0,1017.0,2
North Greenville University,Tigerville,SC,29688-1892,35.069758,-82.37026,5,41.0,1,0.0,2025.0,2
Orangeburg Calhoun Technical College,Orangeburg,SC,29118-8299,33.54485,-80.82927,5,41.0,2,0.0,1753.0,1
YTI Career Institute-York,York,PA,17402,39.992432,-76.660321,2,22.0,2,0.0,1327.0,3
Martin Methodist College,Pulaski,TN,38478-2799,35.201019,-87.035661,5,32.0,1,0.0,792.0,2
Dakota Wesleyan University,Mitchell,SD,57301-4398,43.697432,-98.031188,4,33.0,1,0.0,743.0,2
Arnolds Beauty School,Milan,TN,38358,35.919195,-88.760125,5,32.0,3,0.0,58.0,3
Tennessee College of Applied Technology-Elizabethton,Elizabethton,TN,37643,36.366033,-82.178198,5,41.0,2,0.0,484.0,1
Fisk University,Nashville,TN,37208-4501,36.167087,-86.804805,5,11.0,1,0.0,743.0,2
National American University-Rapid City,Rapid City,SD,57701-2823,44.03152,-103.250223,4,13.0,1,0.0,1410.0,3
Tennessee College of Applied Technology-Harriman,Harriman,TN,37748-5849,35.966107,-84.517871,5,41.0,2,0.0,273.0,1
Tennessee College of Applied Technology-Hohenwald,Hohenwald,TN,38462-2201,35.551687,-87.573757,5,33.0,2,0.0,422.0,1
Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN,37757,36.3175,-84.208918,5,32.0,2,0.0,231.0,1
Chattanooga State Community College,Chattanooga,TN,37406-1097,35.100202,-85.237389,5,12.0,2,0.0,6692.0,1
Memphis Theological Seminary,Memphis,TN,38104-4395,35.13311,-89.982653,5,11.0,1,0.0,,2
Tennessee College of Applied Technology-Shelbyville,Shelbyville,TN,37160-3629,35.485655,-86.421097,5,32.0,2,0.0,438.0,1
Union University,Jackson,TN,38305-3697,35.676896,-88.858524,5,13.0,1,0.0,2061.0,2
Tennessee College of Applied Technology-Crossville,Crossville,TN,38555,35.946609,-85.039137,5,33.0,2,0.0,354.0,1
Tennessee College of Applied Technology-McMinnville,McMinnville,TN,37110,35.70137,-85.74531,5,32.0,2,0.0,170.0,1
Angelo State University,San Angelo,TX,76909,31.440914,-100.465051,6,12.0,1,0.0,5892.0,1
Tennessee College of Applied Technology-Whiteville,Whiteville,TN,38075-0489,35.319574,-89.159449,5,42.0,2,0.0,269.0,1
Arlington Baptist University,Arlington,TX,76012-3425,32.739489,-97.156024,6,11.0,1,0.0,161.0,2
Nashville College of Medical Careers,Madison,TN,37115-2120,36.29172,-86.706296,5,11.0,3,0.0,68.0,3
Nashville State Community College,Nashville,TN,37209-4515,36.134857,-86.857342,5,11.0,2,0.0,6784.0,1
Rhodes College,Memphis,TN,38112-1690,35.154405,-89.990803,5,11.0,1,0.0,1985.0,2
Baptist Missionary Association Theological Seminary,Jacksonville,TX,75766-5407,31.978961,-95.255524,6,32.0,1,0.0,58.0,2
Blinn College,Brenham,TX,77833-4098,30.160457,-96.40852,6,32.0,2,0.0,19412.0,1
Dallas Institute of Funeral Service,Dallas,TX,75227-4314,32.771368,-96.683404,6,11.0,2,0.0,187.0,2
Hardin-Simmons University,Abilene,TX,79698-0001,32.476434,-99.73564,6,12.0,1,0.0,1719.0,2
Lamar University,Beaumont,TX,77705,30.042738,-94.072244,6,12.0,1,0.0,8623.0,1
Lamar State College-Orange,Orange,TX,77630,30.0922,-93.732235,6,22.0,2,0.0,1649.0,1
Hill College,Hillsboro,TX,76645,32.010928,-97.088332,6,32.0,2,0.0,2780.0,1
East Texas Baptist University,Marshall,TX,75670-1498,32.557847,-94.374488,6,32.0,1,0.0,1401.0,2
Laredo College,Laredo,TX,78040-4395,27.506477,-99.520772,6,11.0,2,0.0,9560.0,1
Texas A & M University-Commerce,Commerce,TX,75428-3011,33.243745,-95.908451,6,32.0,1,0.0,8201.0,1
Lee College,Baytown,TX,77520,29.732505,-94.978184,6,13.0,2,0.0,7643.0,1
LeTourneau University,Longview,TX,75602,32.46632,-94.726394,6,13.0,1,0.0,1771.0,2
Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,75052,32.701684,-97.056391,6,21.0,2,0.0,1096.0,3
Concordia University Texas,Austin,TX,78726,30.420232,-97.835703,6,11.0,1,0.0,1716.0,2
University of Mary Hardin-Baylor,Belton,TX,76513-2599,31.066793,-97.463471,6,23.0,1,0.0,3362.0,2
Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-5503,27.713723,-97.32395,6,11.0,1,0.0,9672.0,1
McMurry University,Abilene,TX,79697,32.429776,-99.748682,6,12.0,1,0.0,1080.0,2
Frank Phillips College,Borger,TX,79008-5118,35.657778,-101.406005,6,32.0,2,0.0,587.0,1
University of Houston-Clear Lake,Houston,TX,77058-1002,29.582523,-95.098129,6,21.0,1,0.0,6196.0,1
University of Houston,Houston,TX,77204-2018,29.720393,-95.343537,6,11.0,1,0.0,37291.0,1
University of the Incarnate Word,San Antonio,TX,78209,29.46708,-98.46583,6,11.0,1,0.0,5312.0,2
South Texas College of Law Houston,Houston,TX,77002,29.753171,-95.36455,6,11.0,1,0.0,,2
Paris Junior College,Paris,TX,75460,33.650929,-95.529177,6,33.0,2,0.0,3118.0,1
Ranger College,Ranger,TX,76470,32.456773,-98.685215,6,42.0,2,0.0,2250.0,1
Rice University,Houston,TX,77005-1827,29.717897,-95.402035,6,11.0,1,0.0,3962.0,2
The University of Texas at Dallas,Richardson,TX,75080-3021,32.984673,-96.749702,6,12.0,1,0.0,19837.0,1
St Philip's College,San Antonio,TX,78203-2098,29.41508,-98.453285,6,11.0,2,0.0,7676.0,1
North Lake College,Irving,TX,75038-3899,32.871872,-96.967098,6,12.0,2,0.0,8458.0,1
Sam Houston State University,Huntsville,TX,77340,30.714738,-95.546205,6,32.0,1,0.0,18498.0,1
San Antonio College,San Antonio,TX,78212-3941,29.44634,-98.497647,6,11.0,2,0.0,14564.0,1
Sul Ross State University,Alpine,TX,79832,30.363139,-103.651469,6,33.0,1,0.0,2060.0,1
Texas Lutheran University,Seguin,TX,78155-5999,29.573261,-97.982669,6,31.0,1,0.0,1361.0,2
The University of Texas at San Antonio,San Antonio,TX,78249-1644,29.583709,-98.620657,6,11.0,1,0.0,27380.0,1
