School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Davenport University-Traverse City Location,MI,,,1,2,17406.0,,34400.0,31100.0,25200.0,31500.0,44500.0,29200.0,25900.0,21300.0,26900.0,35700.0
Arkansas Beauty College,AR,0.0,15.0,3,3,,,,,,,,,,,,
Coastline Beauty College,CA,0.0,196.0,3,3,,,,,,,,,,,,
Branford Academy of Hair and Cosmetology,CT,0.0,43.0,3,3,,,,,,,,,,,,
Aveda Institute-Tallahassee,FL,0.0,484.0,3,3,,,,,,,,,,,,
Aveda Fredric's Institute-Cincinnati,OH,0.0,261.0,3,3,,,,,,,,,,,,
DiGrigoli School of Cosmetology,MA,0.0,13.0,3,3,,,,,,,,,,,,
Ross Medical Education Center-New Baltimore,MI,0.0,93.0,3,3,,,,,,,,19300.0,18000.0,12300.0,,
Elevate Salon Institute,MI,0.0,93.0,3,3,,,,,,,,,,,,
Memphis Institute of Barbering,TN,0.0,129.0,3,3,,,,,,,,,,,,
Paul Mitchell the School-Austin,TX,0.0,140.0,3,3,,,,,,,,,,,,
National American University-Austin,TX,0.0,129.0,1,3,15000.0,15000.0,,,,,,31300.0,27100.0,23300.0,28200.0,40500.0
Southeastern Institute-Charlotte,NC,0.0,230.0,3,3,,,,,,,,,,,,
Galen College of Nursing-Cincinnati,OH,0.0,574.0,2,3,,,,,,,,41200.0,40600.0,21000.0,41100.0,41800.0
Yeshiva Toras Chaim,NJ,0.0,240.0,1,2,12250.0,12250.0,,,,,,,,,,
Jenny Lea Academy of Cosmetology,TN,0.0,85.0,3,3,,,,,,,,,,,,
Inland Massage Institute,WA,0.0,29.0,3,3,10375.0,10375.0,,,,,,,,,,
Bryan University,AR,0.0,56.0,2,3,15433.0,15433.0,,,,,,19000.0,17100.0,14900.0,15700.0,23200.0
Chamberlain University-Arizona,AZ,0.0,691.0,1,3,19375.0,19375.0,,,,,,65000.0,61300.0,34100.0,63600.0,79600.0
Milan Institute of Cosmetology-Reno,NV,0.0,156.0,3,3,,,,,,,,16600.0,14700.0,12200.0,,
Ottawa University-Online,KS,1.0,160.0,1,2,,,,,,,,39900.0,36700.0,25900.0,36500.0,45800.0
Roseman University of Health Sciences,NV,0.0,656.0,1,2,,,,,,,,,,,,
Trendsetters School of Beauty & Barbering,FL,0.0,52.0,3,3,,,,,,,,,,,,
North Florida Cosmetology Institute Inc,FL,0.0,121.0,3,3,,,,,,,,,,,,
Florida Academy of Health & Beauty,FL,0.0,43.0,3,3,,,,,,,,,,,,
Phoenix Institute of Herbal Medicine & Acupuncture,AZ,0.0,,1,3,,,,,,,,,,,,
ATA College,KY,0.0,352.0,2,3,13025.0,13025.0,,,,,,24400.0,24200.0,15000.0,,
Mountainland Technical College,UT,0.0,1797.0,2,1,,,,,,,,,,,,
South Texas Barber College Inc,TX,0.0,44.0,3,3,,,,,,,,,,,,
American College of Healthcare and Technology,CA,0.0,73.0,2,3,,,,,,,,,,,,
Concorde Career College-Grand Prairie,TX,0.0,835.0,2,3,,,,,,,,29100.0,26900.0,19900.0,28100.0,37900.0
National American University-Overland Park,KS,0.0,254.0,1,3,15000.0,15000.0,41600.0,37100.0,28600.0,35900.0,49600.0,31300.0,27100.0,23300.0,28200.0,40500.0
Family of Faith Christian University,OK,0.0,20.0,1,2,6570.0,6570.0,,,,,,,,,,
The Salter School-Malden Campus,MA,0.0,89.0,3,3,,,28300.0,27600.0,17800.0,,,22800.0,22200.0,14900.0,22500.0,26200.0
Pacific College of Health Science-Chicago,IL,0.0,44.0,1,3,6880.0,6880.0,,,,,,,,,,
International Technological University,CA,0.0,,1,2,,,,,,,,,,,,
InterCoast Colleges-Riverside,CA,0.0,158.0,2,3,,,32900.0,30400.0,24100.0,,,19400.0,16800.0,15000.0,18200.0,22700.0
Carrington College-Albuquerque,NM,0.0,351.0,2,3,,,,,,,,26000.0,23300.0,19600.0,24800.0,32200.0
PC AGE-Metropark,NJ,0.0,142.0,3,3,,,,,,,,28900.0,25400.0,20600.0,22900.0,39600.0
California Healing Arts College,CA,0.0,26.0,3,3,,,,,,,,32800.0,20100.0,54000.0,,
Ave Maria School of Law,FL,0.0,,1,2,,,,,,,,,,,,
South Florida Institute of Technology,FL,0.0,1424.0,3,3,,,,,,,,21600.0,19800.0,14400.0,18000.0,22700.0
Pierpont Community and Technical College,WV,0.0,1248.0,2,1,4938.0,11704.0,,,,,,,,,,
Bexley Hall Seabury Western Theological Seminary Federation Inc.,IL,0.0,,1,2,,,,,,,,,,,,
Altierus Career College-Norcross,GA,0.0,434.0,2,2,11670.0,11670.0,31600.0,29600.0,21300.0,30800.0,41600.0,19800.0,18200.0,13400.0,19600.0,21700.0
Dewey University-Hato Rey,PR,0.0,416.0,1,2,5925.0,5925.0,18600.0,16900.0,13400.0,17100.0,22200.0,17400.0,14200.0,19200.0,14900.0,19900.0
Colorado Media School,CO,0.0,126.0,3,3,,,32800.0,29000.0,23800.0,27800.0,34900.0,24700.0,24000.0,14900.0,24700.0,24700.0
Empire Beauty School-Framingham,MA,0.0,46.0,3,3,,,28700.0,22800.0,22100.0,,,23100.0,19200.0,18200.0,,
Empire Beauty School-Midlothian,VA,0.0,50.0,3,3,,,23900.0,21200.0,14800.0,,,20400.0,18100.0,22700.0,,
Platt College-OKC-Memorial,OK,0.0,269.0,3,3,,,27000.0,24600.0,21800.0,25100.0,33400.0,26700.0,23300.0,21100.0,26100.0,30100.0
Colegio Tecnico de Electricidad Galloza,PR,0.0,41.0,3,3,,,,,,,,15000.0,12700.0,11700.0,,
Troy University-Phenix City Campus,AL,,,1,1,8908.0,16708.0,42800.0,39500.0,31500.0,38100.0,50200.0,32500.0,29300.0,24500.0,29600.0,38200.0
PJ's College of Cosmetology- Muncie,IN,,,3,3,,,17700.0,14600.0,14200.0,,,17000.0,14800.0,12400.0,,
Humphreys College-Modesto,CA,,,1,2,14292.0,,34000.0,30500.0,27300.0,31600.0,45000.0,28000.0,25200.0,20100.0,,
Mount Saint Mary's University - Doheny Campus,CA,,,1,2,41170.0,,60600.0,54100.0,38600.0,59600.0,69100.0,52400.0,47300.0,32700.0,51300.0,64400.0
Keiser University-Tallahassee,FL,,,1,2,20208.0,,36900.0,32800.0,27600.0,32600.0,43000.0,30500.0,27100.0,21300.0,28700.0,35000.0
Neumont College of Computer Science,UT,0.0,430.0,1,3,24750.0,24750.0,36500.0,32600.0,28200.0,,,61500.0,59900.0,38100.0,,
Porter and Chester Institute of Rocky Hill,CT,,,3,3,17220.0,,41400.0,39100.0,25800.0,31900.0,46500.0,32000.0,30800.0,20500.0,25100.0,34000.0
Johnson & Wales University-Charlotte,NC,0.0,1681.0,1,2,32441.0,32441.0,40500.0,37900.0,27400.0,35900.0,43700.0,30700.0,29100.0,19200.0,29200.0,32300.0
Davenport University-Lansing Location,MI,,,1,2,18414.0,,34400.0,31100.0,25200.0,31500.0,44500.0,29200.0,25900.0,21300.0,26900.0,35700.0
Porter and Chester Institute of Chicopee,MA,,,3,3,17220.0,,41400.0,39100.0,25800.0,31900.0,46500.0,32000.0,30800.0,20500.0,25100.0,34000.0
Compu-Med Vocational Careers Corp,FL,,,3,3,,,21100.0,16800.0,17000.0,,,16200.0,15400.0,9700.0,,
Southeastern College-Miami Lakes,FL,,,2,3,19819.0,,41200.0,35000.0,34900.0,,,27000.0,25600.0,18500.0,26800.0,27700.0
Florida Center,FL,,,1,2,,,62600.0,51600.0,42800.0,49100.0,80700.0,56900.0,42300.0,44500.0,36800.0,86800.0
M State - Wadena Campus,MN,,,2,1,5270.0,,34500.0,31600.0,23900.0,28900.0,42200.0,31700.0,29300.0,20800.0,26300.0,37700.0
Colorado School of Traditional Chinese Medicine,CO,0.0,,1,3,,,,,,,,,,,,
Carolina Christian College,NC,0.0,65.0,1,2,8800.0,8800.0,,,,,,,,,,
Iowa School of Beauty-Sioux City,IA,0.0,44.0,2,3,,,,,,,,14000.0,11700.0,10000.0,,
Colorado School of Healing Arts,CO,0.0,98.0,3,3,10760.0,10760.0,,,,,,25000.0,21500.0,19400.0,,
Pacific Islands University,GU,0.0,59.0,1,2,5428.0,5428.0,,,,,,,,,,
Platt College-Miller-Motte Technical-Charleston,SC,0.0,671.0,2,3,,,27300.0,25600.0,19000.0,25700.0,34800.0,20900.0,18700.0,15700.0,18800.0,27200.0
American Indian OIC Inc,MN,0.0,37.0,3,2,,,,,,,,,,,,
Commonwealth Technical Institute,PA,0.0,175.0,2,2,12594.0,12594.0,21900.0,19500.0,15600.0,,,14600.0,13300.0,11600.0,,
Montessori Education Center of the Rockies,CO,0.0,17.0,1,2,,,,,,,,,,,,
Yeshivah Gedolah Rabbinical College,FL,0.0,34.0,1,2,8300.0,8300.0,,,,,,,,,,
Baldwin Park Adult & Community Education,CA,0.0,399.0,3,1,,,30600.0,30800.0,21300.0,,,25700.0,23700.0,18200.0,,
Northwest Vista College,TX,0.0,12378.0,2,1,2820.0,13830.0,,,,,,29400.0,27000.0,20300.0,26800.0,32500.0
