,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
371,Taylor Institute of Cosmetology,,,,,,
372,Tricoci University of Beauty Culture-Lafayette,,,,,,
373,Hamilton Technical College,,,,,,
374,Mercy College of Health Sciences,,,,,,
375,Morningside College,,,,,,
376,Cloud County Community College,,,,,,
377,Palmer College of Chiropractic,,,,,,
378,Barton County Community College,,,,,,
379,Kirkwood Community College,,,,,,
380,La James International College-Johnston,,,,,,
381,Savannah College of Art and Design,530.0,580.0,630.0,500.0,550.0,600.0
382,Georgia College & State University,570.0,610.0,650.0,540.0,585.0,630.0
383,Truett McConnell University,470.0,527.0,583.0,450.0,505.0,560.0
384,Miami Ad School-Atlanta,,,,,,
385,Carrington College-Boise,,,,,,
386,LaGrange College,520.0,560.0,600.0,500.0,540.0,580.0
387,Young Harris College,460.0,520.0,580.0,470.0,510.0,550.0
388,Tricoci University of Beauty Culture-Urbana,,,,,,
389,Elgin Community College,,,,,,
390,City Colleges of Chicago-Harry S Truman College,,,,,,
391,Eureka College,470.0,530.0,590.0,480.0,530.0,580.0
392,Cameo Beauty Academy,,,,,,
393,Cannella School of Hair Design-Chicago,,,,,,
394,American Academy of Art,,,,,,
395,American Islamic College,,,,,,
396,Columbia College Chicago,,,,,,
397,Graham Hospital School of Nursing,,,,,,
398,Augustana College,,,,,,
399,Hair Professionals Career College,,,,,,
400,Danville Area Community College,,,,,,
401,Steven Papageorge Hair Academy,,,,,,
402,Northwestern University,700.0,730.0,760.0,730.0,760.0,790.0
403,McCormick Theological Seminary,,,,,,
404,McHenry County College,,,,,,
405,Knox College,,,,,,
406,Meadville Lombard Theological School,,,,,,
407,Educators of Beauty College of Cosmetology-Peru,,,,,,
408,University of Illinois at Urbana-Champaign,600.0,645.0,690.0,600.0,685.0,770.0
409,Lake Forest College,,,,,,
410,Indiana University-Bloomington,580.0,625.0,670.0,570.0,630.0,690.0
411,Des Moines Area Community College,,,,,,
412,Divine Word College,,,,,,
413,Iowa Central Community College,,,,,,
414,Wartburg College,510.0,540.0,570.0,510.0,550.0,590.0
415,Colby Community College,,,,,,
416,Iowa School of Beauty-Des Moines,,,,,,
417,Northwestern College,530.0,570.0,610.0,520.0,580.0,640.0
418,Donnelly College,,,,,,
419,Iowa Wesleyan University,460.0,500.0,540.0,468.0,494.0,520.0
420,Fort Hays State University,,,,,,
421,Garden City Community College,,,,,,
422,Luther College,510.0,585.0,660.0,540.0,595.0,650.0
423,Bethany College,440.0,480.0,520.0,450.0,495.0,540.0
424,Maharishi University of Management,,,,,,
